Gender,Name,Nationality,Age,Height,Weight,Occupation,Kids,Dish
F,Olivia,Russia,29,176,79,Teaching,2,Salad
M,Pedro,Japan,24,194,115,Biology,3,Steak
M,Charlie,France,23,186,109,Business,2,Hamburger
F,Mia,Korea,27,185,82,Teaching,3,Sushi
M,Roy,France,30,170,67,Mathematics,3,Gnocchi
F,Mia,Canada,30,195,95,Teaching,3,Gnocchi
F,Charlie,South Africa,26,152,51,Psychology,0,Fish
M,Roy,Germany,23,151,94,Finance,2,Gnocchi
M,Eric,France,20,160,113,Business,2,Pizza
F,Sam,France,22,183,95,Medecine,0,Garlic butter naans
F,Mia,Russia,25,184,79,Teaching,2,Sushi
M,Jude,Canada,28,151,87,Medecine,1,Spaghetti
M,Tim,Russia,26,164,70,Biology,0,Steak
M,Roy,Spain,24,150,58,Mathematics,3,Spaghetti
F,Elsa,Greece,22,153,48,Psychology,2,Salad
F,Olivia,Canada,30,170,60,Business,3,Salad
M,Valentin,Germany,20,187,102,Business,0,Kebab
F,Elsa,Canada,27,160,109,Theater,1,Pizza
F,Jude,US,30,165,111,Computer Science,3,Sushi
F,Teresa,Korea,25,154,105,Music,2,Steak
F,Elsa,Japan,23,195,105,Unemployed,2,Kebab
F,Kim,Jamaica,25,162,53,Medecine,2,Spaghetti
F,Elsa,Sweden,30,167,77,Biology,1,Kebab
M,Jim,Luxembourg,30,153,77,Unemployed,3,Hamburger
F,Zoey,Japan,21,173,89,Physics,1,Fish
F,Jamie,Italy,25,186,81,Physics,0,Fish
F,Hannah,Spain,29,164,66,Psychology,0,Salad
F,Elsa,South Africa,27,183,89,Physics,0,Spaghetti
M,Jude,Luxembourg,21,184,110,Literature,1,Hamburger
F,Jude,Russia,22,164,73,Mathematics,2,Pizza
M,Sam,Sweden,30,189,81,Unemployed,0,Spaghetti
M,Jean,Russia,30,189,100,Physics,2,Pizza
F,Jamie,Greece,22,195,89,Teaching,1,Pizza
F,Isabel,Russia,23,158,74,Business,0,Sushi
M,Tim,Chile,24,190,106,Teaching,0,Spaghetti
M,Tom,Luxembourg,21,186,106,Finance,3,Kebab
M,Louis,US,20,168,70,Biology,0,Fish
M,Pedro,Sweden,21,172,93,Finance,1,Salad
M,Yannick,Chile,21,163,100,Literature,0,Gnocchi
M,Jean,South Africa,24,167,81,Finance,3,Kebab
F,Charlie,Germany,26,166,65,Physics,3,Steak
F,Hannah,Greece,22,168,85,Medecine,3,Garlic butter naans
M,Kevin,Greece,20,192,88,Music,1,Fish
M,Jude,UK,23,158,53,Finance,1,Steak
F,Ivy,Germany,28,172,66,Literature,3,Steak
M,Kevin,China,27,174,109,Physics,1,Spaghetti
F,Charlie,UK,21,178,93,Psychology,3,Garlic butter naans
F,Emma,Sweden,22,178,115,Psychology,1,Steak
F,Sam,Jamaica,30,171,61,Physics,2,Sushi
F,Ivy,Jamaica,21,161,99,Medecine,2,Steak
F,Jamie,Germany,24,177,91,Physics,0,Kebab
M,Roy,South Africa,27,176,94,Teaching,3,Garlic butter naans
F,Sophie,South Africa,28,168,107,Business,2,Hamburger
F,Sam,Italy,25,181,77,Theater,1,Steak
F,Jeanne,China,28,189,96,Literature,0,Salad
M,Joel,South Africa,23,160,76,Psychology,1,Sushi
F,Jamie,UK,20,160,101,Psychology,2,Salad
F,Hannah,Italy,20,171,97,Biology,2,Pizza
M,Louis,Greece,28,173,76,Medecine,2,Spaghetti
M,Pedro,China,24,180,88,Unemployed,2,Pizza
F,Emma,South Africa,30,165,81,Psychology,0,Gnocchi
F,Lucie,Greece,27,186,80,Mathematics,0,Sushi
M,Tim,Korea,30,161,72,Music,1,Salad
M,Tom,Japan,26,158,117,Theater,0,Kebab
M,Louis,Greece,23,153,98,Psychology,2,Steak
M,Tom,France,29,171,74,Medecine,1,Garlic butter naans
F,Mia,France,20,170,79,Medecine,0,Kebab
M,Joel,Canada,20,160,101,Theater,3,Spaghetti
M,Jude,Russia,28,163,82,Mathematics,2,Garlic butter naans
F,Jeanne,Korea,22,175,97,Finance,0,Salad
M,Kim,Italy,26,189,92,Theater,2,Hamburger
M,Jude,China,22,160,115,Literature,0,Steak
F,Marie,France,22,173,105,Theater,3,Pizza
M,Joel,China,27,168,99,Mathematics,2,Pizza
F,Charlie,Sweden,29,153,58,Music,2,Gnocchi
M,Jim,Canada,29,192,91,Business,3,Sushi
F,Sara,Jamaica,29,158,119,Medecine,0,Kebab
F,Sara,Luxembourg,21,166,95,Psychology,1,Fish
M,Kim,Russia,27,184,109,Business,2,Hamburger
M,Charlie,France,29,176,83,Unemployed,0,Garlic butter naans
F,Teresa,UK,27,166,73,Unemployed,1,Pizza
M,Jim,Greece,20,154,54,Business,0,Sushi
F,Hannah,Russia,22,179,113,Business,3,Pizza
M,Eric,UK,28,157,118,Computer Science,1,Salad
M,Jude,UK,26,189,91,Computer Science,0,Kebab
F,Sam,Sweden,23,156,111,Biology,3,Pizza
F,Hannah,Chile,30,170,97,Literature,2,Sushi
M,Kim,Greece,30,167,58,Literature,0,Kebab
M,Carlos,Germany,27,194,115,Mathematics,0,Spaghetti
M,Valentin,Japan,28,186,119,Finance,0,Steak
M,Pedro,Spain,21,188,87,Mathematics,2,Kebab
M,Jamie,China,29,181,74,Finance,1,Steak
F,Jude,Canada,23,186,99,Teaching,3,Steak
F,Kim,Germany,27,159,67,Theater,3,Hamburger
F,Jamie,Canada,22,173,93,Business,3,Garlic butter naans
F,Zoey,Sweden,20,188,100,Music,0,Kebab
F,Jude,France,23,184,88,Physics,1,Hamburger
M,Jim,South Africa,26,168,72,Medecine,3,Steak
M,Jim,US,27,186,100,Teaching,2,Kebab
M,Jean,Germany,26,167,89,Medecine,0,Pizza
M,Sofyan,Japan,28,177,72,Theater,0,Pizza
M,Roy,Korea,22,178,99,Biology,0,Fish
F,Jude,US,24,152,74,Literature,2,Garlic butter naans
M,Tom,UK,27,159,119,Physics,3,Spaghetti
F,Charlie,UK,22,160,117,Mathematics,1,Kebab
M,Yannick,Greece,20,175,109,Business,3,Hamburger
M,Fabio,Sweden,29,182,76,Mathematics,0,Salad
F,Lucie,Italy,27,151,78,Physics,2,Kebab
M,Valentin,Korea,30,155,72,Biology,1,Spaghetti
F,Isabel,US,22,192,116,Biology,1,Garlic butter naans
F,Mia,Luxembourg,29,181,120,Theater,1,Gnocchi
F,Kim,Russia,30,175,111,Business,3,Pizza
F,Elsa,France,23,188,118,Mathematics,3,Sushi
F,Hannah,Japan,26,192,87,Biology,0,Kebab
M,Pedro,Canada,29,162,53,Unemployed,0,Salad
M,Jim,UK,27,150,88,Teaching,2,Hamburger
M,Kim,US,21,162,72,Finance,2,Pizza
M,Roy,Korea,24,187,107,Business,0,Garlic butter naans
F,Elsa,Canada,25,186,91,Physics,0,Kebab
F,Isabel,Russia,30,162,89,Finance,3,Fish
F,Jude,Sweden,25,183,94,Psychology,3,Spaghetti
M,Sofyan,US,25,179,109,Unemployed,0,Pizza
F,Kim,Japan,21,177,83,Medecine,2,Spaghetti
M,Sofyan,Russia,29,161,64,Psychology,1,Pizza
F,Sara,Chile,24,154,85,Psychology,1,Sushi
F,Charlie,France,22,174,108,Theater,1,Sushi
M,Jamie,Spain,22,170,107,Teaching,1,Fish
F,Isabel,Canada,26,162,109,Physics,1,Salad
M,Roy,Greece,23,163,83,Music,1,Pizza
F,Mia,UK,29,163,74,Biology,1,Pizza
M,Pedro,US,23,153,46,Medecine,2,Salad
F,Sabrina,Korea,21,151,48,Mathematics,3,Sushi
M,Tim,Chile,28,157,55,Medecine,1,Steak
F,Marie,China,25,166,95,Business,1,Steak
M,Tom,South Africa,25,190,112,Unemployed,2,Steak
M,Eric,China,20,187,119,Psychology,0,Hamburger
F,Emma,Chile,21,182,88,Finance,3,Salad
M,Jude,Germany,21,176,104,Biology,0,Salad
F,Teresa,Russia,25,151,93,Psychology,1,Steak
F,Olivia,Canada,24,181,87,Computer Science,3,Salad
F,Sara,Russia,29,185,77,Biology,3,Hamburger
M,Tim,Jamaica,29,181,81,Teaching,3,Pizza
M,Pedro,Jamaica,28,159,82,Theater,0,Spaghetti
M,Tim,Canada,30,158,70,Physics,3,Pizza
M,Jamie,Russia,20,184,103,Music,1,Steak
F,Charlie,Luxembourg,24,157,67,Unemployed,2,Spaghetti
F,Zoey,China,29,159,98,Music,3,Fish
F,Emma,China,23,186,105,Music,0,Pizza
F,Ivy,UK,30,167,103,Theater,1,Garlic butter naans
F,Lucie,Italy,30,150,120,Biology,2,Steak
M,Sam,China,28,192,115,Physics,0,Hamburger
M,Jim,Italy,22,151,53,Theater,1,Hamburger
M,Joel,Chile,30,154,52,Biology,0,Pizza
F,Ivy,Korea,24,195,97,Theater,2,Gnocchi
F,Sophie,South Africa,23,163,95,Medecine,2,Steak
F,Ivy,France,25,184,111,Physics,1,Sushi
M,Yannick,Korea,24,167,84,Unemployed,1,Sushi
F,Jude,Jamaica,28,169,97,Biology,3,Gnocchi
M,Louis,Chile,28,176,82,Mathematics,3,Salad
F,Emma,UK,23,187,85,Psychology,1,Steak
F,Teresa,Korea,26,195,108,Psychology,0,Pizza
F,Ivy,Sweden,30,159,53,Biology,1,Sushi
F,Jamie,Spain,29,187,115,Physics,3,Salad
F,Lucie,Italy,30,192,95,Theater,1,Kebab
M,Pedro,Germany,20,170,62,Business,3,Salad
F,Teresa,Sweden,21,170,86,Finance,0,Steak
F,Charlie,Luxembourg,20,170,90,Mathematics,1,Kebab
M,Jean,Chile,29,175,106,Literature,3,Pizza
F,Sabrina,Jamaica,21,182,118,Mathematics,2,Gnocchi
M,Yannick,Japan,21,150,89,Business,3,Salad
M,Tim,Greece,21,195,102,Computer Science,3,Fish
M,Tim,Luxembourg,25,179,69,Teaching,3,Spaghetti
M,Jean,Sweden,20,157,55,Teaching,2,Kebab
F,Emma,France,24,179,102,Computer Science,0,Sushi
M,Eric,Japan,29,154,95,Business,2,Salad
M,Joel,Russia,24,182,93,Unemployed,1,Garlic butter naans
F,Sabrina,Germany,26,153,43,Finance,2,Gnocchi
M,Jim,US,22,155,65,Business,2,Hamburger
M,Sam,Japan,20,189,90,Theater,2,Kebab
M,Carlos,Russia,28,165,110,Business,3,Garlic butter naans
M,Eric,Japan,20,160,98,Finance,3,Steak
M,Pedro,Germany,21,157,85,Biology,2,Steak
F,Emma,US,27,153,116,Physics,3,Spaghetti
M,Charlie,Russia,30,181,108,Theater,0,Garlic butter naans
F,Jude,Sweden,24,171,84,Unemployed,0,Hamburger
M,Pedro,South Africa,21,163,76,Computer Science,3,Sushi
F,Charlie,Greece,23,151,92,Psychology,3,Garlic butter naans
F,Jude,Germany,20,151,57,Business,1,Garlic butter naans
F,Jeanne,France,21,181,73,Physics,2,Pizza
F,Teresa,US,22,187,103,Biology,3,Steak
F,Isabel,Greece,22,178,112,Biology,0,Gnocchi
F,Lucie,Jamaica,30,194,111,Theater,3,Pizza
M,Roy,Luxembourg,24,186,81,Teaching,0,Pizza
F,Charlie,Russia,26,150,90,Physics,2,Spaghetti
F,Ivy,China,23,188,118,Business,1,Steak
F,Sara,Spain,24,156,91,Finance,3,Gnocchi
M,Kevin,Jamaica,25,160,117,Literature,2,Garlic butter naans
F,Charlie,Russia,26,191,94,Mathematics,3,Garlic butter naans
F,Jude,Russia,24,172,113,Psychology,2,Fish
M,Charlie,France,29,163,100,Literature,1,Steak
M,Tim,Greece,24,195,92,Theater,0,Sushi
F,Sara,Japan,24,183,75,Biology,0,Spaghetti
M,Yannick,Sweden,27,189,115,Computer Science,1,Spaghetti
F,Sara,Germany,25,154,107,Literature,2,Steak
F,Mia,France,25,183,95,Psychology,3,Steak
F,Sabrina,Spain,26,163,93,Music,0,Gnocchi
M,Fabio,Greece,29,163,55,Unemployed,0,Spaghetti
F,Zoey,Germany,26,190,87,Music,1,Fish
M,Tom,Sweden,21,194,111,Theater,0,Sushi
F,Sabrina,Russia,22,178,107,Mathematics,1,Salad
F,Olivia,Korea,25,185,98,Mathematics,2,Steak
M,Yannick,Korea,25,158,58,Medecine,0,Kebab
F,Jeanne,UK,28,163,85,Literature,1,Spaghetti
F,Jamie,Russia,26,168,104,Mathematics,1,Salad
F,Sophie,Jamaica,22,151,118,Computer Science,1,Garlic butter naans
M,Eric,UK,20,165,84,Literature,1,Fish
M,Tim,Italy,21,193,90,Biology,3,Kebab
M,Jim,Jamaica,23,161,64,Business,0,Spaghetti
F,Charlie,Italy,24,193,114,Unemployed,2,Garlic butter naans
F,Sophie,Jamaica,21,193,105,Theater,1,Garlic butter naans
M,Jim,Germany,29,162,92,Teaching,2,Garlic butter naans
M,Sofyan,Jamaica,26,153,107,Unemployed,0,Kebab
M,Sofyan,UK,28,189,99,Business,3,Pizza
M,Joel,Chile,30,189,81,Computer Science,1,Steak
M,Jude,Canada,22,180,109,Music,3,Fish
M,Charlie,Russia,21,152,112,Finance,1,Gnocchi
F,Ivy,China,22,163,119,Biology,1,Sushi
F,Jamie,Japan,29,162,53,Computer Science,3,Steak
F,Charlie,Chile,27,166,117,Psychology,3,Gnocchi
M,Valentin,Greece,20,165,103,Psychology,2,Sushi
M,Jamie,Korea,24,162,74,Finance,3,Steak
M,Jude,Korea,30,156,83,Mathematics,3,Pizza
F,Marie,US,20,185,97,Teaching,1,Pizza
M,Tom,Germany,24,151,78,Physics,3,Kebab
M,Joel,China,27,155,97,Biology,0,Kebab
F,Sabrina,Spain,23,177,112,Finance,0,Hamburger
F,Isabel,Russia,23,153,65,Business,2,Kebab
F,Elsa,Sweden,20,194,114,Medecine,0,Sushi
M,Carlos,Luxembourg,24,170,77,Mathematics,3,Steak
F,Elsa,South Africa,22,170,117,Teaching,3,Garlic butter naans
M,Fabio,Jamaica,28,157,61,Physics,0,Pizza
M,Sofyan,US,25,179,119,Theater,1,Spaghetti
F,Hannah,Korea,24,160,95,Unemployed,3,Pizza
M,Fabio,US,20,156,83,Literature,1,Fish
M,Jim,UK,29,195,116,Biology,0,Kebab
M,Sam,China,21,156,69,Literature,1,Garlic butter naans
F,Zoey,France,24,175,76,Teaching,2,Spaghetti
F,Zoey,Sweden,23,184,76,Music,1,Spaghetti
M,Tim,South Africa,26,154,100,Theater,2,Steak
F,Elsa,France,24,173,74,Literature,2,Sushi
M,Pedro,Korea,29,171,83,Music,1,Spaghetti
M,Sam,Canada,24,176,69,Unemployed,0,Fish
M,Sofyan,Spain,27,170,102,Teaching,2,Sushi
F,Jude,Germany,24,184,85,Mathematics,0,Salad
F,Jeanne,Luxembourg,25,161,97,Biology,2,Sushi
M,Jamie,UK,20,150,115,Computer Science,1,Steak
M,Pedro,Jamaica,25,159,106,Literature,0,Garlic butter naans
F,Sara,Italy,21,174,74,Theater,0,Gnocchi
F,Jude,Italy,22,174,108,Medecine,3,Spaghetti
F,Zoey,Luxembourg,22,176,90,Music,2,Spaghetti
M,Joel,Spain,29,186,103,Biology,0,Garlic butter naans
M,Jamie,Korea,30,185,78,Business,0,Sushi
F,Zoey,Korea,23,170,112,Computer Science,2,Spaghetti
M,Sofyan,Korea,23,177,88,Medecine,3,Pizza
M,Tom,Germany,26,188,82,Psychology,0,Garlic butter naans
M,Tom,Russia,29,165,97,Business,1,Kebab
M,Sam,South Africa,25,188,86,Business,3,Steak
F,Lucie,Jamaica,23,190,92,Medecine,2,Hamburger
M,Kim,Canada,21,178,80,Mathematics,0,Hamburger
M,Jim,Japan,30,166,77,Teaching,2,Pizza
M,Jean,Russia,20,156,60,Psychology,3,Fish
M,Joel,Germany,22,158,107,Unemployed,3,Salad
M,Jean,South Africa,27,190,112,Unemployed,0,Fish
M,Eric,China,20,189,113,Biology,2,Steak
M,Tom,Luxembourg,30,187,116,Business,3,Salad
M,Kevin,Germany,26,188,108,Mathematics,0,Fish
F,Lucie,Italy,30,164,79,Psychology,3,Salad
M,Jean,Spain,24,175,109,Biology,1,Sushi
M,Fabio,Spain,24,160,105,Music,2,Fish
F,Emma,Japan,27,189,93,Unemployed,0,Hamburger
M,Yannick,South Africa,26,155,80,Mathematics,3,Pizza
M,Jude,Italy,26,151,105,Business,3,Garlic butter naans
F,Zoey,Sweden,26,172,72,Mathematics,2,Steak
M,Jamie,Russia,25,156,87,Psychology,0,Fish
F,Sophie,Italy,26,171,93,Physics,2,Salad
M,Joel,UK,29,183,81,Theater,0,Garlic butter naans
F,Jamie,China,30,187,103,Psychology,0,Hamburger
M,Kevin,Luxembourg,26,153,70,Theater,3,Kebab
M,Sofyan,Chile,20,181,76,Business,0,Spaghetti
M,Yannick,Jamaica,21,185,108,Finance,2,Hamburger
M,Charlie,Germany,27,193,109,Mathematics,3,Salad
F,Charlie,China,27,152,61,Computer Science,1,Steak
M,Valentin,Spain,30,169,66,Music,2,Garlic butter naans
M,Fabio,Spain,22,187,82,Music,3,Sushi
M,Louis,Russia,28,181,89,Theater,1,Sushi
F,Charlie,US,26,152,63,Biology,3,Pizza
F,Olivia,China,27,155,73,Finance,0,Fish
M,Louis,Spain,27,182,95,Psychology,0,Fish
F,Mia,Korea,23,186,101,Unemployed,2,Kebab
M,Joel,Jamaica,25,177,82,Computer Science,2,Sushi
M,Roy,Greece,26,178,91,Unemployed,0,Spaghetti
M,Kevin,Greece,25,180,103,Physics,1,Sushi
F,Sara,Sweden,28,182,102,Biology,0,Steak
F,Jeanne,Italy,27,194,116,Literature,0,Pizza
F,Hannah,UK,24,160,104,Teaching,2,Sushi
M,Pedro,Jamaica,28,167,60,Theater,1,Spaghetti
F,Kim,Japan,28,183,112,Music,0,Pizza
F,Jamie,Chile,21,161,59,Literature,0,Spaghetti
M,Eric,Korea,25,165,98,Unemployed,3,Garlic butter naans
M,Jude,Canada,25,153,115,Physics,0,Sushi
F,Olivia,Germany,27,192,89,Business,2,Garlic butter naans
F,Mia,Russia,28,154,116,Medecine,0,Spaghetti
F,Emma,Greece,30,181,86,Mathematics,3,Sushi
M,Fabio,Japan,23,178,105,Mathematics,2,Spaghetti
M,Roy,US,29,173,85,Mathematics,3,Gnocchi
F,Teresa,South Africa,22,171,78,Computer Science,3,Fish
M,Pedro,Chile,27,160,78,Music,1,Gnocchi
F,Marie,Luxembourg,29,194,97,Music,1,Steak
M,Jean,US,30,180,118,Literature,0,Gnocchi
M,Charlie,Spain,29,168,107,Computer Science,0,Garlic butter naans
F,Sara,Italy,20,189,91,Finance,0,Kebab
M,Roy,Greece,29,152,108,Theater,1,Hamburger
M,Yannick,Sweden,26,174,86,Teaching,0,Steak
M,Sam,Spain,20,195,99,Unemployed,3,Spaghetti
F,Lucie,Germany,24,159,52,Theater,3,Salad
M,Valentin,Jamaica,23,154,104,Psychology,3,Spaghetti
M,Tim,Jamaica,28,188,117,Finance,1,Fish
F,Sophie,Sweden,23,166,70,Music,3,Spaghetti
M,Carlos,Spain,28,167,116,Unemployed,3,Spaghetti
M,Fabio,Spain,21,187,119,Music,2,Sushi
F,Lucie,Italy,29,165,61,Mathematics,1,Hamburger
F,Jude,South Africa,23,169,76,Literature,1,Salad
M,Carlos,Greece,24,186,90,Psychology,0,Fish
M,Roy,Jamaica,30,182,84,Literature,0,Gnocchi
F,Jeanne,Japan,30,186,118,Theater,0,Salad
M,Fabio,Luxembourg,20,190,116,Biology,3,Fish
F,Charlie,Japan,25,164,88,Medecine,2,Kebab
F,Charlie,Russia,20,179,89,Music,3,Steak
M,Carlos,France,28,195,106,Mathematics,3,Fish
F,Ivy,Sweden,20,150,105,Music,1,Gnocchi
F,Zoey,Chile,23,177,69,Biology,3,Pizza
F,Kim,Korea,24,163,98,Physics,2,Sushi
M,Charlie,UK,28,189,113,Unemployed,1,Pizza
M,Fabio,Italy,20,191,120,Computer Science,2,Kebab
M,Jude,China,26,195,111,Finance,3,Sushi
M,Valentin,France,24,194,116,Literature,3,Kebab
F,Mia,UK,26,164,69,Music,0,Salad
M,Roy,Luxembourg,20,183,108,Business,3,Steak
M,Joel,Chile,24,175,80,Music,2,Kebab
M,Kevin,Luxembourg,27,169,107,Computer Science,2,Spaghetti
M,Kevin,Chile,20,178,119,Finance,3,Garlic butter naans
M,Tim,South Africa,21,166,66,Psychology,0,Fish
F,Lucie,Korea,20,190,113,Biology,2,Kebab
M,Carlos,US,30,175,65,Literature,3,Sushi
F,Sabrina,Russia,29,172,104,Music,2,Steak
F,Elsa,Jamaica,23,169,96,Unemployed,2,Steak
M,Joel,South Africa,24,169,76,Finance,3,Hamburger
M,Jim,Germany,30,182,79,Music,1,Garlic butter naans
F,Jamie,Italy,22,150,86,Theater,2,Spaghetti
F,Elsa,Greece,27,150,60,Business,0,Fish
F,Sabrina,Chile,27,160,55,Medecine,0,Kebab
F,Jamie,Japan,20,154,67,Computer Science,3,Salad
F,Jude,US,25,152,46,Computer Science,1,Kebab
F,Lucie,Sweden,22,189,80,Psychology,2,Fish
M,Sam,Russia,30,157,58,Theater,0,Steak
M,Jamie,Spain,21,195,93,Computer Science,2,Hamburger
F,Elsa,Luxembourg,29,175,102,Biology,3,Hamburger
M,Tim,US,22,154,62,Psychology,0,Pizza
F,Sabrina,Luxembourg,24,150,104,Finance,1,Spaghetti
M,Pedro,Germany,29,185,115,Psychology,3,Spaghetti
M,Fabio,Korea,22,163,53,Psychology,1,Kebab
M,Fabio,Jamaica,26,172,80,Literature,0,Hamburger
M,Roy,South Africa,21,177,106,Mathematics,3,Garlic butter naans
M,Tom,Korea,26,187,113,Music,1,Sushi
M,Louis,Germany,21,191,94,Physics,2,Sushi
M,Jamie,Spain,25,174,116,Unemployed,1,Steak
F,Jamie,Italy,24,179,82,Literature,1,Pizza
M,Tom,Luxembourg,30,193,83,Music,2,Hamburger
M,Pedro,Korea,26,178,75,Teaching,3,Spaghetti
F,Ivy,Canada,22,170,112,Computer Science,0,Spaghetti
M,Roy,France,20,177,97,Medecine,3,Gnocchi
F,Zoey,South Africa,26,176,90,Unemployed,0,Kebab
F,Marie,Jamaica,20,169,112,Psychology,0,Spaghetti
F,Jamie,Italy,25,169,110,Music,0,Steak
M,Louis,Russia,26,180,71,Theater,3,Garlic butter naans
F,Sophie,Japan,21,157,106,Music,3,Fish
F,Sara,Canada,26,153,89,Theater,1,Fish
F,Sara,Luxembourg,30,163,77,Mathematics,2,Spaghetti
M,Jamie,Korea,20,163,90,Mathematics,3,Salad
M,Jamie,South Africa,23,190,120,Business,2,Fish
M,Sofyan,France,28,155,56,Mathematics,3,Spaghetti
F,Teresa,Italy,26,190,108,Business,1,Salad
M,Pedro,Luxembourg,30,184,111,Theater,3,Fish
M,Yannick,China,20,164,100,Unemployed,1,Kebab
M,Tim,Russia,24,164,114,Psychology,1,Sushi
F,Emma,France,22,150,40,Teaching,1,Steak
M,Carlos,Jamaica,24,181,71,Theater,2,Pizza
M,Tim,Greece,24,187,120,Psychology,0,Spaghetti
F,Zoey,Spain,21,185,76,Unemployed,0,Spaghetti
F,Charlie,Germany,23,183,100,Mathematics,2,Steak
F,Jude,Luxembourg,21,173,63,Mathematics,1,Pizza
F,Sara,US,30,175,70,Business,2,Steak
F,Hannah,China,24,163,118,Business,3,Hamburger
M,Carlos,Spain,22,159,104,Literature,0,Fish
F,Sophie,US,26,188,82,Physics,2,Salad
M,Joel,Russia,24,191,87,Computer Science,1,Hamburger
M,Jude,Germany,22,188,104,Music,0,Kebab
F,Sabrina,Russia,27,182,106,Teaching,1,Kebab
F,Mia,Korea,26,160,114,Theater,1,Fish
F,Elsa,UK,28,185,97,Mathematics,2,Salad
M,Kim,Spain,21,185,94,Music,3,Hamburger
F,Zoey,UK,20,185,105,Computer Science,2,Pizza
M,Sam,Italy,28,161,54,Literature,0,Sushi
F,Mia,Italy,22,164,70,Computer Science,0,Pizza
M,Sofyan,South Africa,29,151,103,Theater,0,Salad
M,Louis,South Africa,28,170,112,Psychology,1,Hamburger
M,Sam,Chile,20,159,110,Literature,2,Gnocchi
F,Olivia,Chile,23,173,98,Unemployed,2,Garlic butter naans
M,Fabio,Jamaica,20,176,85,Biology,0,Hamburger
F,Sara,US,26,160,80,Music,3,Salad
M,Louis,Luxembourg,24,185,120,Mathematics,3,Hamburger
F,Sara,Chile,28,173,105,Literature,2,Garlic butter naans
F,Elsa,Spain,26,180,104,Medecine,2,Pizza
M,Jim,Germany,29,175,120,Literature,2,Spaghetti
F,Elsa,US,30,189,99,Unemployed,2,Salad
M,Jim,Greece,28,176,117,Biology,3,Sushi
F,Teresa,Greece,27,191,87,Theater,3,Kebab
M,Jude,France,24,159,78,Teaching,0,Garlic butter naans
F,Zoey,Spain,23,150,120,Unemployed,2,Garlic butter naans
F,Isabel,Germany,29,179,87,Music,3,Fish
F,Isabel,Germany,20,191,95,Theater,3,Fish
F,Jamie,Spain,24,172,93,Music,1,Gnocchi
M,Tom,Sweden,25,184,117,Business,2,Fish
M,Jude,US,20,180,82,Medecine,3,Pizza
F,Jude,US,28,180,116,Finance,1,Salad
M,Yannick,Jamaica,21,161,55,Mathematics,1,Garlic butter naans
F,Lucie,Russia,24,163,99,Computer Science,1,Steak
M,Sam,Japan,28,171,83,Finance,1,Salad
F,Elsa,UK,22,179,80,Mathematics,2,Kebab
F,Emma,Luxembourg,21,194,90,Unemployed,1,Salad
M,Joel,Italy,26,179,70,Literature,0,Pizza
F,Hannah,South Africa,24,169,84,Biology,0,Hamburger
F,Emma,Sweden,23,162,62,Teaching,0,Pizza
M,Tom,US,21,192,86,Computer Science,0,Gnocchi
F,Jamie,Luxembourg,21,180,95,Theater,1,Kebab
F,Jamie,China,22,179,75,Literature,1,Fish
M,Carlos,UK,28,155,118,Unemployed,0,Spaghetti
F,Sophie,Spain,29,157,69,Music,2,Garlic butter naans
F,Olivia,Spain,29,173,94,Mathematics,0,Garlic butter naans
M,Joel,UK,29,182,113,Mathematics,3,Gnocchi
M,Valentin,Russia,26,157,103,Teaching,3,Spaghetti
M,Joel,France,29,157,94,Finance,2,Salad
M,Pedro,Chile,28,181,104,Music,2,Salad
M,Tim,Japan,23,177,98,Teaching,2,Sushi
F,Hannah,Japan,22,181,87,Teaching,0,Sushi
M,Carlos,Japan,24,183,81,Unemployed,1,Gnocchi
M,Pedro,South Africa,28,171,66,Physics,2,Gnocchi
F,Charlie,South Africa,30,171,93,Business,2,Hamburger
M,Sofyan,China,26,150,74,Psychology,2,Hamburger
F,Jude,Luxembourg,22,157,98,Psychology,2,Spaghetti
M,Jamie,Luxembourg,28,188,94,Music,3,Steak
M,Yannick,UK,26,158,65,Physics,3,Kebab
M,Tom,Italy,24,168,84,Finance,0,Garlic butter naans
F,Kim,Spain,26,160,54,Medecine,3,Steak
M,Jim,Luxembourg,22,176,91,Computer Science,0,Hamburger
M,Jamie,US,22,159,72,Literature,3,Fish
M,Jude,Chile,24,190,101,Computer Science,2,Salad
M,Kevin,Chile,26,195,118,Finance,2,Kebab
F,Lucie,Russia,22,193,114,Music,1,Steak
M,Jim,China,23,185,93,Mathematics,3,Kebab
M,Eric,China,28,172,74,Music,3,Pizza
F,Sabrina,Greece,29,153,108,Music,3,Sushi
M,Tom,Luxembourg,21,174,74,Psychology,3,Sushi
M,Joel,US,20,163,99,Teaching,1,Fish
F,Ivy,Italy,30,171,69,Teaching,1,Pizza
F,Mia,Sweden,25,189,107,Physics,0,Garlic butter naans
M,Jim,Canada,29,189,84,Psychology,2,Fish
M,Jude,Chile,20,183,113,Theater,1,Garlic butter naans
M,Yannick,Russia,26,164,107,Physics,3,Fish
M,Jamie,Korea,26,169,76,Biology,3,Pizza
M,Jean,Sweden,26,160,53,Teaching,2,Fish
F,Jamie,Germany,23,180,100,Finance,0,Spaghetti
M,Valentin,Sweden,27,183,92,Psychology,3,Pizza
M,Valentin,Jamaica,23,172,95,Finance,3,Pizza
F,Isabel,Chile,29,151,54,Physics,2,Pizza
M,Valentin,France,22,161,110,Theater,3,Hamburger
F,Jamie,China,28,175,71,Medecine,2,Hamburger
